Sno,Candidate,Constituency,Party,Criminal Cases,Education,Assets,Liabilities
1,Abdul Aziz Doctor,LALGOLA,AITC,0,Post Graduate,"Rs 6,29,08,242 ~ 6 Crore+","Rs 38,50,000 ~ 38 Lacs+"
2,Abdul Khaleque Molla,METIABURUZ,AITC,2,10th Pass,"Rs 1,74,55,505 ~ 1 Crore+",Rs 0 ~
3,Abdul Matin Muhammad,HAROA,AITC,1,12th Pass,"Rs 1,00,14,348 ~ 1 Crore+",Rs 0 ~
4,Abdur Rahim Boxi,MALATIPUR,AITC,2,12th Pass,"Rs 5,82,83,056 ~ 5 Crore+","Rs 10,49,505 ~ 10 Lacs+"
5,Adhikari Dibyendu,EGRA,BJP,2,Graduate,"Rs 4,80,05,224 ~ 4 Crore+","Rs 50,59,168 ~ 50 Lacs+"
6,Agarwal Kanaia Lal,ISLAMPUR,AITC,0,Graduate Professional,"Rs 5,67,06,075 ~ 5 Crore+","Rs 10,93,919 ~ 10 Lacs+"
7,Agnimitra Paul,ASANSOL DAKSHIN,BJP,23,Graduate,"Rs 3,85,66,327 ~ 3 Crore+","Rs 1,20,11,270 ~ 1 Crore+"
8,Agniswar Naskar,SATGACHHIA,BJP,8,Graduate,"Rs 2,92,89,676 ~ 2 Crore+","Rs 86,15,096 ~ 86 Lacs+"
9,Ahmed Javed Khan,KASBA,AITC,0,Graduate,"Rs 39,53,53,826 ~ 39 Crore+","Rs 43,72,40,034 ~43 Crore+"
10,Ajay Kumar Poddar,KULTI,BJP,0,Graduate Professional,"Rs 2,55,79,769 ~ 2 Crore+","Rs 27,40,000 ~ 27 Lacs+"
11,Ajay Ray,DINHATA,BJP,20,10th Pass,"Rs 3,85,47,499 ~ 3 Crore+","Rs 9,71,669 ~ 9 Lacs+"
12,Ajit Kumar Jana,DANTAN,BJP,0,Graduate,"Rs 14,17,84,898 ~ 14 Crore+","Rs 4,47,82,869 ~ 4 Crore+"
13,Akhruzzaman,RAGHUNATHGANJ,AITC,0,Graduate Professional,"Rs 2,90,66,365 ~ 2 Crore+","Rs 6,16,017 ~ 6 Lacs+"
14,Alifa Ahmed,KALIGANJ,AITC,0,Graduate Professional,"Rs 6,76,99,371 ~ 6 Crore+","Rs 1,04,54,367 ~ 1 Crore+"
15,Amal Kumar Panda,SABANG,BJP,1,12th Pass,"Rs 78,39,732 ~ 78 Lacs+",Rs 0 ~
16,Amarnath Shakha,ONDA,BJP,5,10th Pass,"Rs 1,86,85,801 ~ 1 Crore+",Rs 0 ~
17,Amit Samanta,AMTA,BJP,2,Graduate,"Rs 59,59,683 ~ 59 Lacs+","Rs 8,58,397 ~ 8 Lacs+"
